0.000000	7.952454	titre01
7.952454	13.257287	titre02
13.257287	18.418229	titre03
18.418229	20.998699	jéru
20.998699	23.598355	1219
23.598355	28.826446	30ans
28.826446	35.531833	3religions
35.531833	40.894223	soleil
40.894223	48.741156	nuit
48.741156	52.348059	vampire
52.348059	54.918937	hassan
54.918937	57.461036	rachel
57.461036	60.108656	kayam
60.108656	62.713109	isabelle
62.713109	65.365526	agnes
65.365526	69.317771	ilot
69.317771	71.907834	survie
71.907834	75.869672	human
75.869672	81.059391	proie
81.059391	86.325854	darius
86.325854	91.484662	ioannes
91.484662	96.642939	vengeance
96.642939	101.923483	croisade
101.923483	109.119963	jean
109.119963	114.325539	rumeur
114.325539	121.886465	templier
121.886465	129.934847	bk
